Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Limpieza Residuos Sólidos / Basuras,m2,2022-09-21,122+780,122+980,200
Limpieza Manual de Cuneta de Vía T2,ml,2023-02-15,122+816,122+830,41
Limpieza Manual de Cuneta de Vía T2,ml,2023-02-15,122+913,123+000,87
Limpieza Residuos Sólidos / Basuras,m2,2023-05-10,122+930,122+930,80
Repintado de Postes de (hitos) kilométricos T2,m2,2023-05-23,123+000,123+000,0.5
Repintado de Parapetos Muros T2,m2,2023-05-23,123+044,123+046,2
Limpieza de carril/pista y bermas T2,m2,2023-09-08,122+766,122+800,34
Limpieza de Delineador T2,und,2023-09-08,122+790,122+792,1
Limpieza de Delineador T2,und,2023-09-08,122+875,122+876,1
Limpieza de Guardavías T2,ml,2023-09-08,122+900,123+000,100
Limpieza Manual de Cuneta de Vía T2,ml,2024-02-08,123+030,123+100,50
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2024-02-08,123+044,123+046,14
Limpieza de Postes de Señalización Vertical T2,und,2024-03-30,122+920,,1
Limpieza Manual de Cuneta de Vía T2,ml,2025-02-14,122+750,122+800,20
Limpieza de carril/pista y bermas T2,m2,2025-03-24,122+900,123+000,100
Limpieza Manual de Cuneta de Vía T2,ml,2025-04-03,122+870,123+020,150
Reparación de Bache Superficial T2,m2,2025-04-03,122+900,122+935,4
Repintado de Parapetos Muros T2,m2,2025-04-22,122+945,,3
Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-05-21,123+060,123+060,14
Limpieza Manual de Cuneta de Vía T2,ml,2025-09-11,122+900,123+000,100
Limpieza Residuos Sólidos / Basuras,m2,2025-09-23,123+060,123+085,25
Limpieza Manual de Cuneta de Vía T2,ml,2026-01-23,122+960,123+000,40
Remocion de Derrumbes T2,m3,2026-01-23,122+980,123+000,30
Reparación de Bache Superficial T2,m2,2026-01-28,122+790,122+790,1
Limpieza Manual de Cuneta de Vía T2,ml,2026-02-12,122+800,122+999,100
Repintado de Parapetos Muros T2,m2,2026-02-12,122+945,122+940,12
